Unnamed: 0,Place,Relation Type,Context,Date,Sentence,Sentence_Text,Sentence_Text_Cleaned,Place_Text,Date_Text,slug,Notes,Place_Info,sentence_doc
10,"['MASK_18', 'MASK_4']",political_action,"['supervised', 'takeover', 'moved', 'from']",[],[60]," [PERSON]Malenkov[MASK_1] supervised takeover of German V2 missile industry that was moved from [GPE]Peenemünde[MASK_18] to [GPE]Moscow[MASK_4] for further development that resulted in building Vostok missiles and orbiting Sputnik a few years later.
"," Malenkov supervised takeover of German V2 missile industry that was moved from Peenemünde to Moscow for further development that resulted in building Vostok missiles and orbiting Sputnik a few years later.
","['Peenemünde', 'Moscow']",[],Georgy_Malenkov,,"[{'place_name': 'Peenemünde', 'input_name': 'Peenemünde', 'lat': 54.135, 'lng': 13.775, 'gn_description': 'populated place'}, {'place_name': 'Moscow', 'input_name': 'Moscow', 'lat': '55.75222', 'lng': '37.61556', 'gn_description': 'capital of a political entity'}]"," [PERSON]Malenkov[MASK_1] supervised takeover of German V2 missile industry that was moved from [GPE]Peenemünde[MASK_18] to [GPE]Moscow[MASK_4] for further development that resulted in building Vostok missiles and orbiting Sputnik a few years later.
"
11,"['MASK_19', 'MASK_20']",job,"['followed', 'orders', 'of', 'building', 'centers', 'as']",[],[61]," At the same time, [PERSON]Malenkov[MASK_1] followed Stalin's orders of building several space centers, such as [LOC]Kapustin Yar[MASK_19] near the Volga river and [LOC]Khrunichev missile center[MASK_20] in Moscow.
"," At the same time, Malenkov followed Stalin's orders of building several space centers, such as Kapustin Yar near the Volga river and Khrunichev missile center in Moscow.
","['Kapustin Yar', 'Khrunichev missile center']",[],Georgy_Malenkov,,"[{'place_name': 'Kapustin Yar', 'input_name': 'Kapustin Yar', 'lat': 48.5655, 'lng': 46.2952, 'gn_description': 'populated place'}, {'place_name': 'Khrunichev missile center', 'input_name': 'Khrunichev missile center', 'lat': '55.755', 'lng': '37.492', 'gn_description': 'research institute'}]"," At the same time, [PERSON]Malenkov[MASK_1] followed Stalin's orders of building several space centers, such as [LOC]Kapustin Yar[MASK_19] near the Volga river and [LOC]Khrunichev missile center[MASK_20] in Moscow.
"
12,['MASK_4'],political_action,"['followed', 'in', 'order', 'maintain', 'image']",[],[94]," [PERSON]Malenkov[MASK_1] followed Stalin's policy of suppressing that glory in order to maintain [GPE]Moscow[MASK_4]'s image as the USSR's only center of power.
"," Malenkov followed Stalin's policy of suppressing that glory in order to maintain Moscow's image as the USSR's only center of power.
",['Moscow'],[],Georgy_Malenkov,,"[{'place_name': 'Moscow', 'input_name': 'Moscow', 'lat': '55.75222', 'lng': '37.61556', 'gn_description': 'capital of a political entity'}]"," [PERSON]Malenkov[MASK_1] followed Stalin's policy of suppressing that glory in order to maintain [GPE]Moscow[MASK_4]'s image as the USSR's only center of power.
"
13,['MASK_3'],travel,"['came', 'to']",['MASK_21'],[95]," In [DATE]1949[MASK_21], [PERSON]Malenkov[MASK_1] personally came to [GPE]Leningrad[MASK_3] leading a regiment of armed men from Moscow MGB special forces and swiftly removed and arrested the city leaders.
"," In 1949, Malenkov personally came to Leningrad leading a regiment of armed men from Moscow MGB special forces and swiftly removed and arrested the city leaders.
",['Leningrad'],['1949'],Georgy_Malenkov,,"[{'place_name': 'Leningrad', 'input_name': 'Saint Petersburg', 'lat': '59.93863', 'lng': '30.31413', 'gn_description': 'first-order administrative division'}]"," In [DATE]1949[MASK_21], [PERSON]Malenkov[MASK_1] personally came to [GPE]Leningrad[MASK_3] leading a regiment of armed men from Moscow MGB special forces and swiftly removed and arrested the city leaders.
"
14,['MASK_23'],political_action,"['executed', 'in', 'basement', 'of', 'approved', 'supervised', 'by']",[],"[100, 101]"," On [DATE]12 August 1952[MASK_22], thirteen Jewish writers were executed for treason in the basement of [LOC]Lubyanka Prison[MASK_23].
  This was approved by Stalin and supervised by [PERSON]Malenkov[MASK_1].
"," On 12 August 1952, thirteen Jewish writers were executed for treason in the basement of Lubyanka Prison.
  This was approved by Stalin and supervised by Malenkov.
",['Lubyanka Prison'],[],Georgy_Malenkov,,"[{'place_name': 'Lubyanka Prison', 'input_name': 'Lubyanka Prison', 'lat': '55.760833', 'lng': '37.628333', 'gn_description': 'prison'}]"," On [DATE]12 August 1952[MASK_22], thirteen Jewish writers were executed for treason in the basement of [LOC]Lubyanka Prison[MASK_23].
  This was approved by Stalin and supervised by [PERSON]Malenkov[MASK_1].
"
15,['MASK_2'],political_office,"['day', 'succeeded', 'as', 'Premier', 'of']",['MASK_24'],[104],"On [DATE]6 March[MASK_24], the day after Stalin died, [PERSON]Malenkov[MASK_1] succeeded him as Premier of [GPE]the Soviet Union[MASK_2].
","On 6 March, the day after Stalin died, Malenkov succeeded him as Premier of the Soviet Union.
",['the Soviet Union'],['6 March'],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]","On [DATE]6 March[MASK_24], the day after Stalin died, [PERSON]Malenkov[MASK_1] succeeded him as Premier of [GPE]the Soviet Union[MASK_2].
"
16,['MASK_2'],political_office,"['name', 'appeared', 'confirming', 'succeeded', 'as', 'man', 'in']",['MASK_25'],[107]," On [DATE]7 March[MASK_25], [PERSON]Malenkov[MASK_1]'s name appeared atop the list of secretaries of the Secretariat, confirming that he had succeeded Stalin as the most powerful man in [GPE]the Soviet Union[MASK_2].
"," On 7 March, Malenkov's name appeared atop the list of secretaries of the Secretariat, confirming that he had succeeded Stalin as the most powerful man in the Soviet Union.
",['the Soviet Union'],['7 March'],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]"," On [DATE]7 March[MASK_25], [PERSON]Malenkov[MASK_1]'s name appeared atop the list of secretaries of the Secretariat, confirming that he had succeeded Stalin as the most powerful man in [GPE]the Soviet Union[MASK_2].
"
17,['MASK_26'],political_action,"['decided', 'pursue', 'with']",[],[114]," After receiving a classified report from senior physicists Igor Kurchatov, Abram Alikhanov, Isaak Kikoin, and A.P. Vinogradov about the dangers of a thermonuclear war, [PERSON]Malenkov[MASK_1] decided to pursue a policy of peaceful coexistence with [GPE]the United States[MASK_26], while maintaining a minimal deterrence, declaring that ""a new world war ... with modern weapons means the end of world civilization.""
"," After receiving a classified report from senior physicists Igor Kurchatov, Abram Alikhanov, Isaak Kikoin, and A.P. Vinogradov about the dangers of a thermonuclear war, Malenkov decided to pursue a policy of peaceful coexistence with the United States, while maintaining a minimal deterrence, declaring that ""a new world war ... with modern weapons means the end of world civilization.""
",['the United States'],[],Georgy_Malenkov,,"[{'place_name': 'the United States', 'input_name': 'United States', 'lat': '-14.60485', 'lng': '-57.65625', 'gn_description': 'independent political entity'}]"," After receiving a classified report from senior physicists Igor Kurchatov, Abram Alikhanov, Isaak Kikoin, and A.P. Vinogradov about the dangers of a thermonuclear war, [PERSON]Malenkov[MASK_1] decided to pursue a policy of peaceful coexistence with [GPE]the United States[MASK_26], while maintaining a minimal deterrence, declaring that ""a new world war ... with modern weapons means the end of world civilization.""
"
18,['MASK_2'],political_action,"['forced', 'reiterate', 'retaliate']",[],[115]," Though [PERSON]he[MASK_1] was later forced to reiterate that [GPE]the Soviet Union[MASK_2] would retaliate in kind against a nuclear aggression from the West after receiving some sharp criticism from Khrushchev and Molotov.
"," Though he was later forced to reiterate that the Soviet Union would retaliate in kind against a nuclear aggression from the West after receiving some sharp criticism from Khrushchev and Molotov.
",['the Soviet Union'],[],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]"," Though [PERSON]he[MASK_1] was later forced to reiterate that [GPE]the Soviet Union[MASK_2] would retaliate in kind against a nuclear aggression from the West after receiving some sharp criticism from Khrushchev and Molotov.
"
19,['MASK_27'],political_action,"['took', 'keeping', 'policy', 'of', 'keeping']",[],[116]," In debates on diplomacy [PERSON]he[MASK_1] always took the peaceful line, while keeping Stalin's policy of keeping [LOC]the eastern european countries[MASK_27] firmly under Soviet influence.
"," In debates on diplomacy he always took the peaceful line, while keeping Stalin's policy of keeping the eastern european countries firmly under Soviet influence.
",['the eastern european countries'],[],Georgy_Malenkov,,"[{'place_name': 'the eastern european countries', 'input_name': 'Eastern Europe', 'lat': '51.72703', 'lng': '28.38867', 'gn_description': 'region'}]"," In debates on diplomacy [PERSON]he[MASK_1] always took the peaceful line, while keeping Stalin's policy of keeping [LOC]the eastern european countries[MASK_27] firmly under Soviet influence.
"
20,['MASK_2'],political_action,"['advocated', 'with', 'goal', 'of', 'elevating', 'standards', 'of', 'living', 'in']",[],[117]," On economic issues, [PERSON]Malenkov[MASK_1] advocated refocusing the economy on production of consumer goods at the expense of heavy industry, with the goal of elevating the standards of living in [GPE]the Soviet Union[MASK_2].
"," On economic issues, Malenkov advocated refocusing the economy on production of consumer goods at the expense of heavy industry, with the goal of elevating the standards of living in the Soviet Union.
",['the Soviet Union'],[],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]"," On economic issues, [PERSON]Malenkov[MASK_1] advocated refocusing the economy on production of consumer goods at the expense of heavy industry, with the goal of elevating the standards of living in [GPE]the Soviet Union[MASK_2].
"
21,['MASK_28'],travel,"['flew', 'to', 'island', 'of']",['MASK_29'],[124]," Together with Khrushchev, [PERSON]he[MASK_1] flew to [GPE]the island of Brioni[MASK_28] (Yugoslavia) on the night of [DATE]1–2 November 1956[MASK_29] to inform Josip Broz Tito of the impending Soviet invasion of [GPE]Hungary[MASK_30] scheduled for 4 November.
"," Together with Khrushchev, he flew to the island of Brioni (Yugoslavia) on the night of 1–2 November 1956 to inform Josip Broz Tito of the impending Soviet invasion of Hungary scheduled for 4 November.
",['the island of Brioni'],['2 November 1956'],Georgy_Malenkov,,"[{'place_name': 'the island of Brioni', 'input_name': 'Brijuni', 'lat': 44.916666666667, 'lng': 13.766666666667, 'gn_description': 'islands'}]"," Together with Khrushchev, [PERSON]he[MASK_1] flew to [GPE]the island of Brioni[MASK_28] (Yugoslavia) on the night of [DATE]1–2 November 1956[MASK_29] to inform Josip Broz Tito of the impending Soviet invasion of [GPE]Hungary[MASK_30] scheduled for 4 November.
"
22,['MASK_30'],political_action,"['flew', 'inform', 'of', 'invasion', 'of']",['MASK_29'],[124]," Together with Khrushchev, [PERSON]he[MASK_1] flew to [GPE]the island of Brioni[MASK_28] (Yugoslavia) on the night of [DATE]1–2 November 1956[MASK_29] to inform Josip Broz Tito of the impending Soviet invasion of [GPE]Hungary[MASK_30] scheduled for 4 November.
"," Together with Khrushchev, he flew to the island of Brioni (Yugoslavia) on the night of 1–2 November 1956 to inform Josip Broz Tito of the impending Soviet invasion of Hungary scheduled for 4 November.
",['Hungary'],['2 November 1956'],Georgy_Malenkov,,"[{'place_name': 'Hungary', 'input_name': 'Hungary', 'lat': '47', 'lng': '20', 'gn_description': 'independent political entity'}]"," Together with Khrushchev, [PERSON]he[MASK_1] flew to [GPE]the island of Brioni[MASK_28] (Yugoslavia) on the night of [DATE]1–2 November 1956[MASK_29] to inform Josip Broz Tito of the impending Soviet invasion of [GPE]Hungary[MASK_30] scheduled for 4 November.
"
23,['MASK_31'],political_action,"['In', 'standoff', 'in', 'turned', 'against']",[],[126]," In a dramatic standoff in [LOC]the Kremlin[MASK_31], both Khrushchev and Georgy Zhukov, who had the backing of the Soviet Army, turned against [PERSON]Malenkov[MASK_1].
"," In a dramatic standoff in the Kremlin, both Khrushchev and Georgy Zhukov, who had the backing of the Soviet Army, turned against Malenkov.
",['the Kremlin'],[],Georgy_Malenkov,,"[{'place_name': 'the Kremlin', 'input_name': 'Kremlin', 'lat': '48.56972', 'lng': '-110.0866', 'gn_description': 'populated place'}]"," In a dramatic standoff in [LOC]the Kremlin[MASK_31], both Khrushchev and Georgy Zhukov, who had the backing of the Soviet Army, turned against [PERSON]Malenkov[MASK_1].
"
24,['MASK_7'],travel,"['expelled', 'exiled', 'to']",['MASK_35'],[128]," In [DATE]1961[MASK_35], [PERSON]Malenkov[MASK_1] was expelled from the Communist Party and exiled to [GPE]Kazakhstan[MASK_7].
"," In 1961, Malenkov was expelled from the Communist Party and exiled to Kazakhstan.
",['Kazakhstan'],['1961'],Georgy_Malenkov,,"[{'place_name': 'Kazakhstan', 'input_name': 'Kazakhstan', 'lat': '48', 'lng': '68', 'gn_description': 'independent political entity'}]"," In [DATE]1961[MASK_35], [PERSON]Malenkov[MASK_1] was expelled from the Communist Party and exiled to [GPE]Kazakhstan[MASK_7].
"
25,['MASK_32'],job,"['became', 'manager', 'of', 'plant', 'in']",[],[129]," [PERSON]He[MASK_1] became a manager of a hydroelectric plant in [GPE]Ust'-Kamenogorsk[MASK_32] in Kazakhstan.
"," He became a manager of a hydroelectric plant in Ust'-Kamenogorsk in Kazakhstan.
","[""Ust'-Kamenogorsk""]",[],Georgy_Malenkov,,"[{'place_name': ""Ust'-Kamenogorsk"", 'input_name': 'Oskemen', 'lat': 49.95, 'lng': 82.616666666667, 'gn_description': 'seat of a first-order administrative division'}]"," [PERSON]He[MASK_1] became a manager of a hydroelectric plant in [GPE]Ust'-Kamenogorsk[MASK_32] in Kazakhstan.
"
26,['MASK_4'],death_place,"['died', 'in']",['MASK_33'],[135],"[PERSON]Georgy Malenkov[MASK_1] died on [DATE]14 January 1988[MASK_33] in [GPE]Moscow[MASK_4] of natural causes at the age of 86, just 6 days after his birthday.
","Georgy Malenkov died on 14 January 1988 in Moscow of natural causes at the age of 86, just 6 days after his birthday.
",['Moscow'],['14 January 1988'],Georgy_Malenkov,,"[{'place_name': 'Moscow', 'input_name': 'Moscow', 'lat': '55.75222', 'lng': '37.61556', 'gn_description': 'capital of a political entity'}]","[PERSON]Georgy Malenkov[MASK_1] died on [DATE]14 January 1988[MASK_33] in [GPE]Moscow[MASK_4] of natural causes at the age of 86, just 6 days after his birthday.
"
27,['MASK_34'],burial_place,"['buried', 'at']",[],[136]," [PERSON]He[MASK_1] was buried at [LOC]Kuntsevo Cemetery[MASK_34].
"," He was buried at Kuntsevo Cemetery.
",['Kuntsevo Cemetery'],[],Georgy_Malenkov,,"[{'place_name': 'Kuntsevo Cemetery', 'input_name': 'Kuntsevo Cemetery', 'lat': '55.707471600000005', 'lng': '37.41673654808605', 'gn_description': 'cemetery'}]"," [PERSON]He[MASK_1] was buried at [LOC]Kuntsevo Cemetery[MASK_34].
"
28,['MASK_2'],job,"['was', 'politician', 'activist', 'pronunciation']",[],[1],"[PERSON]Marielle Franco[MASK_1] (Portuguese pronunciation: [maɾiˈɛli ˈfɾɐ̃ku]; born Marielle Francisco da Silva, 27 July 1979 – 14 March 2018) was a [GPE]Brazilian[MASK_2] politician, sociologist, feminist, socialist and human rights activist.
","Marielle Franco (Portuguese pronunciation: [maɾiˈɛli ˈfɾɐ̃ku]; born Marielle Francisco da Silva, 27 July 1979 – 14 March 2018) was a Brazilian politician, sociologist, feminist, socialist and human rights activist.
",['Brazilian'],[],Marielle_Franco,,"[{'place_name': 'Brazilian', 'input_name': 'Brazil', 'lat': '-10', 'lng': '-55', 'gn_description': 'independent political entity'}]","[PERSON]Marielle Franco[MASK_1] (Portuguese pronunciation: [maɾiˈɛli ˈfɾɐ̃ku]; born Marielle Francisco da Silva, 27 July 1979 – 14 March 2018) was a [GPE]Brazilian[MASK_2] politician, sociologist, feminist, socialist and human rights activist.
"
29,['MASK_3'],political_office,"['served', 'as', 'councillor', 'of', 'Chamber', 'of']",['MASK_4'],[2],"[PERSON]Franco[MASK_1] served as a city councillor of the Municipal Chamber of [GPE]Rio de Janeiro[MASK_3] for the Socialism and Liberty Party (PSOL) from [DATE]January 2017[MASK_4] until her assassination.

","Franco served as a city councillor of the Municipal Chamber of Rio de Janeiro for the Socialism and Liberty Party (PSOL) from January 2017 until her assassination.

",['Rio de Janeiro'],['January 2017'],Marielle_Franco,,"[{'place_name': 'Rio de Janeiro', 'input_name': 'Rio de Janeiro', 'lat': -22.9111111111111, 'lng': -43.2055555555556, 'gn_description': 'seat of a first-order administrative division'}]","[PERSON]Franco[MASK_1] served as a city councillor of the Municipal Chamber of [GPE]Rio de Janeiro[MASK_3] for the Socialism and Liberty Party (PSOL) from [DATE]January 2017[MASK_4] until her assassination.

"
30,['MASK_3'],death_place,"['On', 'in', 'car', 'after', 'delivering', 'speech', 'in', 'north', 'of', ',', 'shot']",['MASK_5'],[3],"On [DATE]14 March 2018[MASK_5], while in a car after delivering a speech in the north of [GPE]Rio de Janeiro[MASK_3], [PERSON]Franco[MASK_1] and her driver were shot multiple times and killed by two murderers travelling in another vehicle.
","On 14 March 2018, while in a car after delivering a speech in the north of Rio de Janeiro, Franco and her driver were shot multiple times and killed by two murderers travelling in another vehicle.
",['Rio de Janeiro'],['14 March 2018'],Marielle_Franco,,"[{'place_name': 'Rio de Janeiro', 'input_name': 'Rio de Janeiro', 'lat': -22.9111111111111, 'lng': -43.2055555555556, 'gn_description': 'seat of a first-order administrative division'}]","On [DATE]14 March 2018[MASK_5], while in a car after delivering a speech in the north of [GPE]Rio de Janeiro[MASK_3], [PERSON]Franco[MASK_1] and her driver were shot multiple times and killed by two murderers travelling in another vehicle.
"
31,['MASK_7'],political_action,"['been', 'intervention', 'in', 'state', 'of']",['MASK_6'],[4],"[PERSON]Franco[MASK_1] had been an outspoken critic of police brutality and extrajudicial killings, as well as the [DATE]February 2018[MASK_6] federal intervention by Brazilian president Michel Temer in [GPE]the state of Rio de Janeiro[MASK_7] which resulted in the deployment of the army in police operations.
","Franco had been an outspoken critic of police brutality and extrajudicial killings, as well as the February 2018 federal intervention by Brazilian president Michel Temer in the state of Rio de Janeiro which resulted in the deployment of the army in police operations.
",['the state of Rio de Janeiro'],['February 2018'],Marielle_Franco,,"[{'place_name': 'the state of Rio de Janeiro', 'input_name': 'Rio de Janeiro', 'lat': -22.9111111111111, 'lng': -43.2055555555556, 'gn_description': 'seat of a first-order administrative division'}]","[PERSON]Franco[MASK_1] had been an outspoken critic of police brutality and extrajudicial killings, as well as the [DATE]February 2018[MASK_6] federal intervention by Brazilian president Michel Temer in [GPE]the state of Rio de Janeiro[MASK_7] which resulted in the deployment of the army in police operations.
"
